MAIN,GENERAL
https://e27.co/startups/sphere-pos,https://e27.co/api/startups/get/?slug=sphere-pos&data_type=general
https://e27.co/startups/sprout-solutions,https://e27.co/api/startups/get/?slug=sprout-solutions&data_type=general
https://e27.co/startups/sprout-digital-labs,https://e27.co/api/startups/get/?slug=sprout-digital-labs&data_type=general
https://e27.co/startups/sproutback,https://e27.co/api/startups/get/?slug=sproutback&data_type=general
https://e27.co/startups/sprout-inc,https://e27.co/api/startups/get/?slug=sprout-inc&data_type=general
https://e27.co/startups/sprout-geek,https://e27.co/api/startups/get/?slug=sprout-geek&data_type=general
https://e27.co/startups/sproutx,https://e27.co/api/startups/get/?slug=sproutx&data_type=general
https://e27.co/startups/intern2u,https://e27.co/api/startups/get/?slug=intern2u&data_type=general
https://e27.co/startups/travel-indiaa,https://e27.co/api/startups/get/?slug=travel-indiaa&data_type=general
https://e27.co/startups/travel-rewards-group,https://e27.co/api/startups/get/?slug=travel-rewards-group&data_type=general
https://e27.co/startups/travel-portal-solution,https://e27.co/api/startups/get/?slug=travel-portal-solution&data_type=general
https://e27.co/startups/travel-pangandaran,https://e27.co/api/startups/get/?slug=travel-pangandaran&data_type=general
https://e27.co/startups/travel-swop,https://e27.co/api/startups/get/?slug=travel-swop&data_type=general
https://e27.co/startups/travel-gyaan,https://e27.co/api/startups/get/?slug=travel-gyaan&data_type=general
https://e27.co/startups/travel-merchants,https://e27.co/api/startups/get/?slug=travel-merchants&data_type=general
https://e27.co/startups/travel-spirit-international,https://e27.co/api/startups/get/?slug=travel-spirit-international&data_type=general
https://e27.co/startups/chatbots-studio,https://e27.co/api/startups/get/?slug=chatbots-studio&data_type=general
https://e27.co/startups/evoenergy,https://e27.co/api/startups/get/?slug=evoenergy&data_type=general
https://e27.co/startups/di-apptrends,https://e27.co/api/startups/get/?slug=di-apptrends&data_type=general
https://e27.co/startups/ravsan-media,https://e27.co/api/startups/get/?slug=ravsan-media&data_type=general
https://e27.co/startups/doctors-iea,https://e27.co/api/startups/get/?slug=doctors-iea&data_type=general
https://e27.co/startups/kloudboxx-krosswork,https://e27.co/api/startups/get/?slug=kloudboxx-krosswork&data_type=general
https://e27.co/startups/fordiabetes,https://e27.co/api/startups/get/?slug=fordiabetes&data_type=general
https://e27.co/startups/juvo-labs-pte-ltd,https://e27.co/api/startups/get/?slug=juvo-labs-pte-ltd&data_type=general
https://e27.co/startups/digifutura-technologies,https://e27.co/api/startups/get/?slug=digifutura-technologies&data_type=general
https://e27.co/startups/mycareercube,https://e27.co/api/startups/get/?slug=mycareercube&data_type=general
https://e27.co/startups/maddox-technologies-pte-ltd,https://e27.co/api/startups/get/?slug=maddox-technologies-pte-ltd&data_type=general
https://e27.co/startups/apigate,https://e27.co/api/startups/get/?slug=apigate&data_type=general
https://e27.co/startups/apimatic,https://e27.co/api/startups/get/?slug=apimatic&data_type=general
https://e27.co/startups/apinetech-inc,https://e27.co/api/startups/get/?slug=apinetech-inc&data_type=general
https://e27.co/startups/apitchdeck,https://e27.co/api/startups/get/?slug=apitchdeck&data_type=general
https://e27.co/startups/apidaecare,https://e27.co/api/startups/get/?slug=apidaecare&data_type=general
https://e27.co/startups/apidez,https://e27.co/api/startups/get/?slug=apidez&data_type=general
https://e27.co/startups/apilinx,https://e27.co/api/startups/get/?slug=apilinx&data_type=general
https://e27.co/startups/soften-creative-solutions,https://e27.co/api/startups/get/?slug=soften-creative-solutions&data_type=general
https://e27.co/startups/smart-business-advisors,https://e27.co/api/startups/get/?slug=smart-business-advisors&data_type=general
https://e27.co/startups/kalpha,https://e27.co/api/startups/get/?slug=kalpha&data_type=general
https://e27.co/startups/ivideosmart,https://e27.co/api/startups/get/?slug=ivideosmart&data_type=general
https://e27.co/startups/dani-s-hauswartservice-gmbh,https://e27.co/api/startups/get/?slug=dani-s-hauswartservice-gmbh&data_type=general
https://e27.co/startups/innovo42,https://e27.co/api/startups/get/?slug=innovo42&data_type=general
https://e27.co/startups/hatchet,https://e27.co/api/startups/get/?slug=hatchet&data_type=general
https://e27.co/startups/enterprise-mobility,https://e27.co/api/startups/get/?slug=enterprise-mobility&data_type=general
https://e27.co/startups/spokk-io,https://e27.co/api/startups/get/?slug=spokk-io&data_type=general
https://e27.co/startups/appus-studio-lp,https://e27.co/api/startups/get/?slug=appus-studio-lp&data_type=general
https://e27.co/startups/kalyandevelopers,https://e27.co/api/startups/get/?slug=kalyandevelopers&data_type=general
https://e27.co/startups/trendy-startups,https://e27.co/api/startups/get/?slug=trendy-startups&data_type=general
https://e27.co/startups/netflux-think-big-think-us,https://e27.co/api/startups/get/?slug=netflux-think-big-think-us&data_type=general
https://e27.co/startups/glance-consultants,https://e27.co/api/startups/get/?slug=glance-consultants&data_type=general
https://e27.co/startups/dana-cita,https://e27.co/api/startups/get/?slug=dana-cita&data_type=general
https://e27.co/startups/lendio,https://e27.co/api/startups/get/?slug=lendio&data_type=general
https://e27.co/startups/affirm,https://e27.co/api/startups/get/?slug=affirm&data_type=general
https://e27.co/startups/sofi,https://e27.co/api/startups/get/?slug=sofi&data_type=general
https://e27.co/startups/kabbage,https://e27.co/api/startups/get/?slug=kabbage&data_type=general
https://e27.co/startups/dharma,https://e27.co/api/startups/get/?slug=dharma&data_type=general
https://e27.co/startups/october-eu,https://e27.co/api/startups/get/?slug=october-eu&data_type=general
https://e27.co/startups/bcw,https://e27.co/api/startups/get/?slug=bcw&data_type=general
https://e27.co/startups/jojo,https://e27.co/api/startups/get/?slug=jojo&data_type=general
https://e27.co/startups/medifi,https://e27.co/api/startups/get/?slug=medifi&data_type=general
https://e27.co/startups/jelvix,https://e27.co/api/startups/get/?slug=jelvix&data_type=general
https://e27.co/startups/truly-wp,https://e27.co/api/startups/get/?slug=truly-wp&data_type=general
https://e27.co/startups/xiaopeng-motors,https://e27.co/api/startups/get/?slug=xiaopeng-motors&data_type=general
https://e27.co/startups/xipe-tech,https://e27.co/api/startups/get/?slug=xipe-tech&data_type=general
https://e27.co/startups/xicom-technologies-ltd-1,https://e27.co/api/startups/get/?slug=xicom-technologies-ltd-1&data_type=general
https://e27.co/startups/xii-braves,https://e27.co/api/startups/get/?slug=xii-braves&data_type=general
https://e27.co/startups/xive-group,https://e27.co/api/startups/get/?slug=xive-group&data_type=general
https://e27.co/startups/xicom-technologies,https://e27.co/api/startups/get/?slug=xicom-technologies&data_type=general
https://e27.co/startups/xii-braves-pte-ltd,https://e27.co/api/startups/get/?slug=xii-braves-pte-ltd&data_type=general
https://e27.co/startups/xiami-music-network,https://e27.co/api/startups/get/?slug=xiami-music-network&data_type=general
https://e27.co/startups/xiaodian,https://e27.co/api/startups/get/?slug=xiaodian&data_type=general
https://e27.co/startups/xicom-technologies-ltd,https://e27.co/api/startups/get/?slug=xicom-technologies-ltd&data_type=general
https://e27.co/startups/mcf-eduaid,https://e27.co/api/startups/get/?slug=mcf-eduaid&data_type=general
https://e27.co/startups/sunshine-motor-repairs-tyres,https://e27.co/api/startups/get/?slug=sunshine-motor-repairs-tyres&data_type=general
https://e27.co/startups/optiux-marketing,https://e27.co/api/startups/get/?slug=optiux-marketing&data_type=general
https://e27.co/startups/find-construction,https://e27.co/api/startups/get/?slug=find-construction&data_type=general
https://e27.co/startups/engagerocket,https://e27.co/api/startups/get/?slug=engagerocket&data_type=general
https://e27.co/startups/pure-automate-hotel-management-software,https://e27.co/api/startups/get/?slug=pure-automate-hotel-management-software&data_type=general
https://e27.co/startups/equallyy,https://e27.co/api/startups/get/?slug=equallyy&data_type=general
https://e27.co/startups/roamermobile,https://e27.co/api/startups/get/?slug=roamermobile&data_type=general
https://e27.co/startups/social-blue,https://e27.co/api/startups/get/?slug=social-blue&data_type=general
https://e27.co/startups/social-buddy,https://e27.co/api/startups/get/?slug=social-buddy&data_type=general
https://e27.co/startups/flitter,https://e27.co/api/startups/get/?slug=flitter&data_type=general
